model,bin_lo,bin_hi,n_samples,mean_confidence,actual_accuracy,gap
LSG,0.0,0.1,25,0.0771,0.36,0.2829
LSG,0.1,0.2,59,0.1439,0.4576,0.3137
LSG,0.2,0.3,72,0.2558,0.5417,0.2859
LSG,0.3,0.4,109,0.3552,0.4128,0.0577
LSG,0.4,0.5,198,0.4541,0.4444,0.0097
LSG,0.5,0.6,194,0.546,0.3866,0.1594
LSG,0.6,0.7,196,0.6516,0.4643,0.1873
LSG,0.7,0.8,281,0.7505,0.6014,0.1491
LSG,0.8,0.9,458,0.8507,0.631,0.2197
LSG,0.9,1.0,208,0.9274,0.625,0.3024
Baseline,0.3,0.4,1,0.3176,0.0,0.3176
Baseline,0.4,0.5,11,0.4583,0.4545,0.0038
Baseline,0.5,0.6,63,0.5606,0.619,0.0585
Baseline,0.6,0.7,267,0.6609,0.6142,0.0466
Baseline,0.7,0.8,801,0.755,0.568,0.1869
Baseline,0.8,0.9,636,0.8379,0.4638,0.3741
Baseline,0.9,1.0,20,0.9167,0.15,0.7667
