model,bin_lo,bin_hi,n_samples,mean_confidence,actual_accuracy,gap
LSG,0.0,0.1,3,0.0894,0.3333,0.2439
LSG,0.1,0.2,47,0.158,0.4255,0.2675
LSG,0.2,0.3,82,0.2598,0.4878,0.228
LSG,0.3,0.4,105,0.3504,0.5333,0.1829
LSG,0.4,0.5,130,0.451,0.4,0.051
LSG,0.5,0.6,183,0.553,0.4098,0.1432
LSG,0.6,0.7,258,0.6546,0.4496,0.205
LSG,0.7,0.8,403,0.7558,0.6005,0.1553
LSG,0.8,0.9,476,0.8482,0.6134,0.2348
LSG,0.9,1.0,113,0.9191,0.6018,0.3173
Baseline,0.3,0.4,1,0.3176,0.0,0.3176
Baseline,0.4,0.5,11,0.4583,0.4545,0.0038
Baseline,0.5,0.6,63,0.5606,0.619,0.0585
Baseline,0.6,0.7,267,0.6609,0.6142,0.0466
Baseline,0.7,0.8,801,0.755,0.568,0.1869
Baseline,0.8,0.9,636,0.8379,0.4638,0.3741
Baseline,0.9,1.0,20,0.9167,0.15,0.7667
