pc1,pc2,label
0.0174,-0.2897,STORE
0.229,0.2676,STORE
0.0569,0.2468,STORE
-0.0555,0.1189,STORE
0.2093,-0.3149,STORE
-0.1411,-0.2645,STORE
0.0989,-0.0392,STORE
0.0017,0.3197,STORE
0.0274,-0.201,STORE
-0.1868,0.1304,STORE
-0.0989,-0.2084,STORE
0.056,0.032,STORE
-0.1082,0.1076,STORE
-0.1706,0.2391,STORE
-0.1691,-0.0006,STORE
0.1582,0.1019,STORE
-0.3509,-0.0127,STORE
0.0836,0.0059,STORE
-0.2418,-0.0413,STORE
-0.0384,-0.2141,STORE
0.262,0.2228,STORE
-0.0238,0.1611,STORE
-0.2382,0.0759,STORE
-0.2884,-0.097,STORE
0.0622,0.2039,STORE
0.1421,-0.1579,STORE
0.2626,0.2095,STORE
0.1101,0.0941,STORE
-0.0312,-0.247,STORE
-0.0858,0.0257,STORE
0.2189,0.2388,STORE
-0.2485,-0.23,STORE
0.0315,0.102,STORE
-0.1037,0.0028,STORE
0.0501,-0.0934,STORE
0.0044,-0.1571,STORE
-0.2912,-0.2093,STORE
0.0491,0.0459,STORE
0.1042,0.1634,STORE
0.0691,-0.0576,STORE
0.1567,0.1817,STORE
0.2474,0.2942,STORE
0.0965,0.0663,STORE
0.1185,-0.1702,STORE
-0.0504,0.1791,STORE
0.1562,-0.2116,STORE
-0.2065,-0.1984,STORE
-0.3107,-0.0173,STORE
-0.1232,0.2267,STORE
0.4051,-0.1724,STORE
0.3096,0.1908,STORE
0.2392,-0.1254,STORE
-0.1716,0.0908,STORE
0.0393,-0.2253,STORE
-0.0111,-0.0561,STORE
0.0228,-0.1265,STORE
-0.3078,-0.0683,STORE
-0.073,-0.1469,STORE
-0.1673,-0.2386,STORE
-0.2345,0.0406,STORE
0.1109,0.1457,STORE
-0.2915,-0.1791,STORE
0.4006,0.1492,STORE
0.2861,-0.2818,STORE
-0.3156,0.081,STORE
0.1157,-0.2804,STORE
0.1794,0.3834,STORE
0.208,-0.0039,STORE
0.0318,-0.0618,STORE
0.0889,-0.103,STORE
-0.1885,-0.1185,STORE
-0.1398,0.1632,STORE
0.0844,-0.2704,STORE
-0.2428,-0.0396,STORE
0.1974,0.1243,STORE
-0.0134,-0.1463,STORE
-0.0578,0.1991,STORE
0.0266,0.0248,STORE
0.1721,0.2507,STORE
-0.1896,0.0621,STORE
-0.0528,0.1467,STORE
0.0775,0.2748,STORE
-0.2364,0.2131,STORE
-0.2594,0.0724,STORE
0.1567,-0.0066,STORE
0.0324,0.0256,STORE
-0.0488,-0.1448,STORE
0.0345,-0.2438,STORE
0.2786,0.1784,STORE
-0.192,0.1576,STORE
-0.0869,-0.1693,STORE
0.1018,-0.1218,STORE
0.2997,0.2314,STORE
0.0771,0.0187,STORE
-0.0859,-0.1238,STORE
-0.0455,-0.106,STORE
-0.1275,0.0342,STORE
0.0256,-0.086,STORE
-0.0244,-0.1146,STORE
0.0814,0.3267,STORE
0.0141,0.2846,STORE
-0.2062,0.1508,STORE
0.0536,-0.1078,STORE
-0.0494,0.1057,STORE
0.0094,0.2803,STORE
0.0857,0.2189,STORE
-0.0901,0.0905,STORE
-0.1751,0.0876,STORE
0.1957,-0.0409,STORE
0.1901,-0.1262,STORE
-0.1635,-0.1803,STORE
0.3481,0.1739,STORE
-0.051,-0.2285,STORE
-0.2117,-0.0304,STORE
-0.0851,0.1761,STORE
-0.1041,-0.0854,STORE
0.3378,0.1969,STORE
-0.2294,0.134,STORE
0.2761,-0.3427,STORE
0.3883,0.2778,STORE
0.1228,0.0852,STORE
-0.2707,0.0845,STORE
0.0269,0.1046,STORE
-0.0324,0.1008,STORE
-0.1287,0.1921,STORE
-0.0652,0.2308,STORE
-0.1295,-0.1045,STORE
-0.066,0.1914,STORE
-0.0227,-0.1052,STORE
-0.1047,0.2168,STORE
-0.2276,0.0996,STORE
0.2995,0.0806,STORE
-0.1249,-0.0726,STORE
-0.3608,-0.1041,STORE
-0.0131,-0.3164,STORE
0.1673,0.1382,STORE
0.1267,0.1422,STORE
-0.0916,0.0861,STORE
-0.0233,-0.0018,STORE
0.0709,0.0005,STORE
0.0055,0.2143,STORE
0.0364,-0.019,STORE
-0.0792,-0.0366,STORE
-0.2802,-0.085,STORE
-0.1621,-0.0408,STORE
-0.1878,-0.1246,STORE
-0.1062,0.1724,STORE
-0.1512,0.0271,STORE
-0.164,-0.0121,STORE
-0.2241,0.1273,STORE
-0.3017,-0.2166,STORE
-0.0023,-0.1042,STORE
-0.1455,-0.1437,STORE
-0.3024,0.1169,STORE
-0.0537,-0.1604,STORE
-0.0124,-0.0917,STORE
0.1512,0.0547,STORE
0.122,0.3306,STORE
-0.167,-0.0725,STORE
0.0916,-0.1098,STORE
-0.2034,-0.1355,STORE
-0.0364,-0.32,STORE
-0.0226,0.1229,STORE
0.0834,0.2407,STORE
-0.0085,-0.03,STORE
0.253,-0.4971,STORE
-0.2873,0.039,STORE
0.1074,0.1758,STORE
-0.0563,0.2287,STORE
-0.2811,-0.2387,STORE
-0.0489,0.0515,STORE
-0.1988,-0.1819,STORE
-0.2099,-0.2164,STORE
-0.1423,0.008,STORE
0.0691,0.0227,STORE
0.3375,0.3141,STORE
-0.1599,-0.2035,STORE
0.0372,0.1507,STORE
-0.2732,0.1045,STORE
-0.0757,0.1723,STORE
0.2436,-0.0348,STORE
0.2891,0.2062,STORE
-0.2399,0.095,STORE
0.2055,0.2203,STORE
-0.1693,0.0994,STORE
-0.0816,-0.1873,STORE
0.0902,-0.2693,STORE
0.0645,0.0486,STORE
-0.1469,-0.1678,STORE
0.1323,0.0154,STORE
0.2904,0.1725,STORE
-0.0661,0.1455,STORE
0.1283,0.0407,STORE
-0.0022,-0.1422,STORE
-0.0723,0.0768,STORE
0.1161,0.2592,STORE
0.0776,-0.0198,STORE
-0.2546,0.2003,STORE
0.1277,0.0104,STORE
-0.14,-0.155,STORE
-0.1115,-0.0613,STORE
0.1586,0.0515,STORE
0.326,0.2528,STORE
-0.3232,-0.1483,STORE
0.0316,-0.2843,STORE
0.0256,-0.228,STORE
-0.2412,-0.0678,STORE
-0.1348,0.0866,STORE
0.0228,0.1807,STORE
-0.3254,-0.0594,STORE
