model,threshold,precision,recall,f1
LSG,0.085,0.5344,1.0,0.6966
LSG,0.087,0.5347,1.0,0.6968
LSG,0.096,0.535,1.0,0.6971
LSG,0.103,0.5348,0.999,0.6966
LSG,0.108,0.5351,0.999,0.6969
LSG,0.114,0.5354,0.999,0.6971
LSG,0.115,0.5351,0.9979,0.6967
LSG,0.117,0.5354,0.9979,0.6969
LSG,0.117,0.5352,0.9969,0.6964
LSG,0.117,0.5355,0.9969,0.6967
LSG,0.129,0.5358,0.9969,0.6969
LSG,0.132,0.5361,0.9969,0.6972
LSG,0.135,0.5364,0.9969,0.6975
LSG,0.135,0.5367,0.9969,0.6977
LSG,0.136,0.5364,0.9958,0.6972
LSG,0.138,0.5367,0.9958,0.6975
LSG,0.145,0.5364,0.9948,0.697
LSG,0.149,0.5367,0.9948,0.6973
LSG,0.15,0.5365,0.9938,0.6968
LSG,0.152,0.5368,0.9938,0.697
LSG,0.152,0.5371,0.9938,0.6973
LSG,0.153,0.5374,0.9938,0.6976
LSG,0.157,0.5371,0.9927,0.6971
LSG,0.158,0.5374,0.9927,0.6973
LSG,0.159,0.5377,0.9927,0.6976
LSG,0.159,0.5375,0.9917,0.6971
LSG,0.159,0.5378,0.9917,0.6974
LSG,0.162,0.5381,0.9917,0.6976
LSG,0.162,0.5384,0.9917,0.6979
LSG,0.168,0.5381,0.9906,0.6974
LSG,0.17,0.5384,0.9906,0.6977
LSG,0.172,0.5382,0.9896,0.6972
LSG,0.173,0.5379,0.9886,0.6967
LSG,0.173,0.5376,0.9875,0.6962
LSG,0.174,0.5374,0.9865,0.6957
LSG,0.174,0.5377,0.9865,0.696
LSG,0.174,0.5374,0.9854,0.6955
LSG,0.175,0.5377,0.9854,0.6958
LSG,0.181,0.538,0.9854,0.696
LSG,0.182,0.5383,0.9854,0.6963
LSG,0.182,0.5381,0.9844,0.6958
LSG,0.187,0.5384,0.9844,0.6961
LSG,0.187,0.5381,0.9834,0.6956
LSG,0.188,0.5378,0.9823,0.6951
LSG,0.188,0.5382,0.9823,0.6954
LSG,0.19,0.5379,0.9813,0.6949
LSG,0.191,0.5376,0.9802,0.6944
